['CO[P@@](=O)(N)SC', '(-)']
['C=CC(C)(C)c1[nH]c2ccccc2c1/C=C1\\NC(=O)[C@@]2(OCC)CCCN2C1=O', '(-)']
['CCC1=C(C2=C(C=C1O)O[C@H](CC2=O)C)O', '(-)']
['CCc1c(O)cc2c(c1O)C(=O)C[C@@H](C)O2', '(+)']
['CCC1=C(C2=C(C=C1O)O[C@@H](CC2=O)C)O', '(+)']
['CCc1c(O)cc2c(c1O)C(=O)C[C@H](C)O2', '(-)']
['CN1/C(=C\\C2=CC=CC=C2)/C(=O)N[C@H](C1=O)CC3=CC=CC=C3O', '(-)']
['CN1C(=O)[C@@H](Cc2ccccc2O)NC(=O)/C1=C/c1ccccc1', '(+)']
['CN1/C(=C\\C2=CC=CC=C2)/C(=O)N[C@@H](C1=O)CC3=CC=CC=C3O', '(+)']
['CN1C(=O)[C@H](Cc2ccccc2O)NC(=O)/C1=C/c1ccccc1', '(-)']
['CC1(CCC2=C(O1)C=CC(=C2)CC3=C(C(=O)O[C@@H]3OC)C4=CC=C(C=C4)O)C', '(-)']
['CO[C@@H]1OC(=O)C(c2ccc(O)cc2)=C1Cc1ccc2c(c1)CCC(C)(C)O2', '(+)']
['CC(=CCC1=C(C=CC(=C1)CC2=C(C(=O)O[C@H]2OC)C3=CC=C(C=C3)O)O)C', '(+)']
['CO[C@H]1OC(=O)C(c2ccc(O)cc2)=C1Cc1ccc(O)c(CC=C(C)C)c1', '(-)']
['CC(=CCC1=C(C=CC(=C1)CC2=C(C(=O)O[C@@H]2OC)C3=CC=C(C=C3)O)O)C', '(-)']
['CO[C@@H]1OC(=O)C(c2ccc(O)cc2)=C1Cc1ccc(O)c(CC=C(C)C)c1', '(+)']
['CC(=CCC1=C(C=C(C=C1)C[C@H]([C@H](C2=CC=C(C=C2)O)C(=O)O)C(=O)OC)O)C', '(+)']
['COC(=O)[C@@H](Cc1ccc(CC=C(C)C)c(O)c1)[C@H](C(=O)O)c1ccc(O)cc1', '(-)']
['CC(=CCC1=C(C=C(C=C1)C[C@@H]([C@@H](C2=CC=C(C=C2)O)C(=O)O)C(=O)OC)O)C', '(-)']
['COC(=O)[C@H](Cc1ccc(CC=C(C)C)c(O)c1)[C@@H](C(=O)O)c1ccc(O)cc1', '(+)']
['CC1=CC(=CC(=C1)OC2=CC(=CC3=C2[C@@H]4C5=C(CO4)C=CC=C5O3)C)O', '(-)']
['Cc1cc(O)cc(Oc2cc(C)cc3c2[C@@H]2OCc4cccc(c42)O3)c1', '(+)']
['CC1=CC(=CC(=C1)OC2=CC(=CC3=C2[C@H]4C5=C(CO4)C=CC=C5O3)C)O', '(+)']
['Cc1cc(O)cc(Oc2cc(C)cc3c2[C@H]2OCc4cccc(c42)O3)c1', '(-)']
['CC1=CC(=CC(=C1)OC2=CC3=C([C@H]4C5=C(CO4)C=CC=C5O3)C(=C2)C)O', '(-)']
['Cc1cc(O)cc(Oc2cc(C)c3c(c2)Oc2cccc4c2[C@@H]3OC4)c1', '(+)']
['CC1=CC(=CC(=C1)OC2=CC3=C([C@@H]4C5=C(CO4)C=CC=C5O3)C(=C2)C)O', '(+)']
['Cc1cc(O)cc(Oc2cc(C)c3c(c2)Oc2cccc4c2[C@H]3OC4)c1', '(-)']
['CC1=CC(=CC(=C1)OC2=C(C(=CC(=C2)O)C)[C@@H]3C4=C(CO3)C=CC=C4O)O', '(-)']
['Cc1cc(O)cc(Oc2cc(O)cc(C)c2[C@@H]2OCc3cccc(O)c32)c1', '(+)']
['CC1=CC(=CC(=C1)OC2=C(C(=CC(=C2)O)C)[C@H]3C4=C(CO3)C=CC=C4O)O', '(+)']
['Cc1cc(O)cc(Oc2cc(O)cc(C)c2[C@H]2OCc3cccc(O)c32)c1', '(-)']
['CC1=CC(=C2C(=C1)OC3=CC(=CC(=C3C2=O)[C@H]4[C@@H](C5=C(C(=CC(=C5)OC)O)OC6=CC(=CC(=C6C(=O)O4)O)C)O)OC)O', '(+)']
['COc1cc(O)c2c(c1)[C@H](O)[C@@H](c1cc(OC)cc3oc4cc(C)cc(O)c4c(=O)c13)OC(=O)c1c(O)cc(C)cc1O2', '(-)']
['CC1=CC2=C3C(=C1)O[C@@]4(C3=C(C=C2)O)C5=C(C=CC=C5OC)C(=O)N4CCO', '(-)']
['COc1cccc2c1[C@@]1(Oc3cc(C)cc4ccc(O)c1c34)N(CCO)C2=O', '(+)']
['C[C@@H]1CC2=C(C=CC(=C2C(=O)O1)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O', '(-)']
['C[C@H]1Cc2c(O)ccc(O[C@H]3O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]3O)c2C(=O)O1', '(+)']
['CCC[C@@H]1CC2=C(C[C@@H](CC3=C1C(=O)OC3=O)CC)C(=O)NC2=O', '(-)']
['CCC[C@H]1CC2=C(C[C@@H](CC)CC3=C1C(=O)OC3=O)C(=O)NC2=O', '(+)']
['CC1=C(C(=C(C(=C1Cl)OC)[C@H]2[C@@H](CC3=C2C(=C(C=C3O)O)C=O)C(=C)C)O)Cl', '(-)']
['C=C(C)[C@H]1Cc2c(O)cc(O)c(C=O)c2[C@@H]1c1c(O)c(Cl)c(C)c(Cl)c1OC', '(+)']
['CC1=C(C(=C(C(=C1Cl)OC)[C@@H]2[C@H](CC3=C2C(=C(C=C3O)O)C=O)C(=C)C)O)Cl', '(+)']
['C=C(C)[C@@H]1Cc2c(O)cc(O)c(C=O)c2[C@H]1c1c(O)c(Cl)c(C)c(Cl)c1OC', '(-)']
['CC1=C(C(=C(C(=C1Cl)OC)[C@H]2[C@@H](CC3=C2C(=C(C=C3O)O)C=O)C(C)(C)O)O)Cl', '(-)']
['COc1c(Cl)c(C)c(Cl)c(O)c1[C@H]1c2c(C=O)c(O)cc(O)c2C[C@@H]1C(C)(C)O', '(+)']
['CC1=CC=C(OC1=O)[C@H](C)[C@H](C)O', '(-)']
['Cc1ccc([C@@H](C)[C@@H](C)O)oc1=O', '(+)']
['CC1=CC=C(OC1=O)[C@H](C)[C@@H](C)O', '(-)']
['Cc1ccc([C@@H](C)[C@H](C)O)oc1=O', '(+)']
['CC1=CC2=C(C=C1)[C@@](OC3=CC(=C(C=C32)O)OC)(C)CCC=C(C)C', '(-)']
['COc1cc2c(cc1O)-c1cc(C)ccc1[C@](C)(CCC=C(C)C)O2', '(+)']
['CC1=CC2=C(C=C1)[C@](OC3=CC(=C(C=C32)O)OC)(C)CCC=C(C)C', '(+)']
['COc1cc2c(cc1O)-c1cc(C)ccc1[C@@](C)(CCC=C(C)C)O2', '(-)']
['CC1=CC2=C(C=C1)[C@@](OC3=CC(=C(C=C32)O)OC)(C)/C=C/C=C(C)C', '(-)']
['COc1cc2c(cc1O)-c1cc(C)ccc1[C@](C)(/C=C/C=C(C)C)O2', '(+)']
['CC1=CC2=C(C=C1)[C@](OC3=CC(=C(C=C32)O)OC)(C)/C=C/C=C(C)C', '(+)']
['COc1cc2c(cc1O)-c1cc(C)ccc1[C@@](C)(/C=C/C=C(C)C)O2', '(-)']
['C[C@H](C=C(C)C=CC(=O)O)C(=O)C1=CC=C(C=C1)N(C)C', '(+)']
['CC(C=CC(=O)O)=C[C@H](C)C(=O)c1ccc(N(C)C)cc1', '(-)']
['CCC[C@@H]1CC2=C(C[C@H]([C@@H](C3=C1C(=O)OC3=O)O)CC)C(=O)OC2=O', '(-)']
['CCC[C@H]1CC2=C(C[C@H](CC)[C@@H](O)C3=C1C(=O)OC3=O)C(=O)OC2=O', '(+)']
['C1CC(=O)O[C@H]1CC2=CC(=C(C=C2)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)C(=O)O)O)O)O)O', '(-)']
['O=C1CC[C@@H](Cc2ccc(O[C@H]3O[C@@H](C(=O)O)[C@H](O)[C@@H](O)[C@@H]3O)c(O)c2)O1', '(+)']
['C1CC2=C(C[C@@H]1CCCNCCCCCC3=CC(=C(C=C3)O)O)SC(=N2)N', '(-)']
['Nc1nc2c(s1)C[C@@H](CCCNCCCCCc1ccc(O)c(O)c1)CC2', '(+)']
['COC1=C(C=CC(=C1)CCCCCNCCC[C@@H]2CCC3=C(C2)SC(=N3)N)O', '(-)']
['COc1cc(CCCCCNCCC[C@H]2CCc3nc(N)sc3C2)ccc1O', '(+)']
['C1CC(=O)O[C@H]1CC2=CC(=C(C(=C2)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)C(=O)O)O)O)O)O)O', '(-)']
['O=C1CC[C@@H](Cc2cc(O)c(O)c(O[C@H]3O[C@@H](C(=O)O)[C@H](O)[C@@H](O)[C@@H]3O)c2)O1', '(+)']
['C[C@H]1C[C@@H](CC(=O)O[C@H]([C@@H]([C@H](C/C=C/C2=NC(=CO2)C3=NC(=CO3)C4=NC(=CO4)[C@@H]([C@H]([C@@H](C1)O)C)OC)OC)C)C[C@H]([C@@H](C)CCC(=O)[C@H](C)[C@@H]([C@H](C)/C=C/N(C)C=O)OC)OC)OC(=O)N', '(+)']
